secteur_activite,revenu_mensuel_estime_fcfa,volume_flux_mobile_money_fcfa,solde_epargne_mobile_fcfa,retards_paiement_6mois,taux_endettement,membre_cooperative_tontine,nb_depots_suspects_24h,ratio_retrait_immediat,changement_sim_recent,defaut_paiement,est_fraude
Planteur_Cacao,376000.0,489000.0,110000.0,0,0.53,1,0,0.73,0,0,0
Artisan,201000.0,179000.0,66000.0,0,0.58,1,0,0.15,0,0,0
Fonctionnaire,357000.0,447000.0,75000.0,0,0.37,1,0,0.66,0,0,0
Salarie_Prive,597000.0,374000.0,125000.0,1,0.78,1,0,0.78,0,1,0
Commercant_Informel,269000.0,343000.0,24000.0,0,0.56,1,0,0.79,0,0,0
Planteur_Cacao,476000.0,350000.0,132000.0,0,0.67,0,2,0.79,0,0,1
Planteur_Cacao,240000.0,283000.0,86000.0,2,0.34,1,0,0.3,0,1,0
Planteur_Cacao,321000.0,342000.0,129000.0,0,0.82,1,0,0.97,0,0,0
Commercant_Informel,345000.0,493000.0,137000.0,1,0.71,1,0,0.99,0,0,0
Salarie_Prive,444000.0,394000.0,62000.0,0,0.73,1,0,0.17,0,1,0
Salarie_Prive,759000.0,430000.0,162000.0,0,0.19,1,0,0.93,0,0,0
Planteur_Cacao,328000.0,170000.0,21000.0,0,0.27,0,0,0.36,1,0,1
Artisan,213000.0,283000.0,41000.0,0,0.28,1,0,0.71,0,0,0
Salarie_Prive,640000.0,656000.0,188000.0,2,0.27,0,0,0.4,0,1,0
Commercant_Informel,152000.0,194000.0,60000.0,1,0.73,1,1,0.96,0,1,1
Salarie_Prive,236000.0,173000.0,65000.0,0,0.08,1,4,0.19,0,0,1
Commercant_Informel,143000.0,121000.0,12000.0,1,0.11,1,0,0.54,0,0,0
Planteur_Cacao,627000.0,333000.0,107000.0,0,0.27,1,0,0.48,0,0,0
Commercant_Informel,230000.0,337000.0,101000.0,0,0.21,0,2,0.39,0,0,1
Salarie_Prive,884000.0,1032000.0,46000.0,1,0.24,0,0,0.67,0,1,0
Planteur_Cacao,298000.0,428000.0,71000.0,1,0.69,1,1,0.22,0,1,0
Planteur_Cacao,433000.0,332000.0,42000.0,0,0.5,1,0,0.74,0,0,0
Planteur_Cacao,678000.0,753000.0,102000.0,0,0.05,1,1,0.97,0,0,1
Planteur_Cacao,761000.0,897000.0,353000.0,0,0.39,1,1,0.82,0,0,1
Fonctionnaire,585000.0,478000.0,126000.0,1,0.38,0,1,0.87,0,1,1
Salarie_Prive,681000.0,918000.0,269000.0,0,0.14,1,2,0.42,0,0,1
Commercant_Informel,372000.0,539000.0,211000.0,1,0.59,0,0,0.39,0,0,0
Planteur_Cacao,507000.0,702000.0,115000.0,0,0.61,1,1,0.56,0,0,0
Commercant_Informel,350000.0,434000.0,141000.0,2,0.63,1,0,0.14,0,1,0
Commercant_Informel,230000.0,179000.0,33000.0,0,0.63,1,0,0.94,0,0,0
Planteur_Cacao,253000.0,198000.0,69000.0,1,0.05,1,1,0.23,0,0,0
Commercant_Informel,280000.0,409000.0,36000.0,0,0.81,0,1,0.9,0,1,1
Commercant_Informel,265000.0,135000.0,51000.0,0,0.7,1,0,0.17,0,0,0
Salarie_Prive,432000.0,525000.0,54000.0,1,0.77,0,1,0.83,0,1,1
Salarie_Prive,604000.0,729000.0,105000.0,1,0.06,1,1,0.24,0,0,0
Planteur_Cacao,572000.0,642000.0,197000.0,0,0.8,0,0,0.13,0,1,0
Commercant_Informel,288000.0,429000.0,73000.0,0,0.7,1,0,0.74,0,0,0
Salarie_Prive,722000.0,586000.0,147000.0,1,0.72,0,0,0.35,0,1,0
Commercant_Informel,177000.0,149000.0,28000.0,1,0.12,0,0,0.74,0,1,0
Fonctionnaire,405000.0,234000.0,71000.0,2,0.64,0,0,0.59,0,1,0
Salarie_Prive,392000.0,370000.0,40000.0,0,0.82,1,0,0.2,0,1,0
Planteur_Cacao,64000.0,49000.0,2000.0,2,0.59,0,0,0.93,0,1,0
Planteur_Cacao,385000.0,325000.0,44000.0,0,0.51,1,0,0.5,0,0,0
Salarie_Prive,482000.0,643000.0,129000.0,1,0.81,1,1,0.75,0,1,1
Planteur_Cacao,672000.0,965000.0,81000.0,1,0.4,1,1,0.55,0,1,1
Commercant_Informel,337000.0,231000.0,36000.0,0,0.53,1,1,0.64,1,0,1
Artisan,139000.0,121000.0,21000.0,1,0.43,0,0,0.37,0,1,0
Commercant_Informel,447000.0,638000.0,27000.0,0,0.8,1,1,0.28,0,0,1
Commercant_Informel,390000.0,219000.0,53000.0,1,0.11,1,1,0.58,0,0,1
Salarie_Prive,587000.0,348000.0,124000.0,2,0.45,1,0,0.49,1,1,1
Commercant_Informel,260000.0,172000.0,13000.0,0,0.6,1,1,0.45,0,0,1
Commercant_Informel,194000.0,212000.0,52000.0,0,0.68,0,0,0.7,0,1,0
Artisan,178000.0,116000.0,32000.0,2,0.52,1,0,0.71,0,1,0
Commercant_Informel,378000.0,555000.0,100000.0,1,0.78,1,1,0.14,0,1,0
Artisan,313000.0,296000.0,85000.0,0,0.8,1,1,0.4,0,0,0
Artisan,293000.0,293000.0,52000.0,0,0.1,0,0,0.47,0,0,0
Planteur_Cacao,312000.0,233000.0,49000.0,0,0.37,0,1,0.19,0,0,0
Planteur_Cacao,198000.0,193000.0,4000.0,0,0.07,0,0,0.31,0,0,0
Planteur_Cacao,425000.0,494000.0,140000.0,1,0.31,1,0,0.15,0,1,0
Planteur_Cacao,82000.0,102000.0,28000.0,0,0.48,1,0,0.99,0,0,0
Planteur_Cacao,458000.0,574000.0,20000.0,0,0.78,1,0,0.76,0,1,0
Salarie_Prive,478000.0,515000.0,82000.0,2,0.73,1,0,0.18,0,1,0
Planteur_Cacao,316000.0,444000.0,174000.0,1,0.15,1,0,0.12,0,0,0
Planteur_Cacao,113000.0,149000.0,27000.0,1,0.12,0,0,0.74,0,0,0
Fonctionnaire,461000.0,580000.0,122000.0,0,0.52,1,0,0.49,0,0,0
Planteur_Cacao,304000.0,169000.0,62000.0,2,0.48,1,0,0.8,0,1,0
Fonctionnaire,326000.0,165000.0,48000.0,0,0.26,0,0,0.92,0,0,0
Planteur_Cacao,60000.0,43000.0,10000.0,1,0.77,0,0,0.63,0,1,0
Planteur_Cacao,395000.0,460000.0,149000.0,0,0.79,1,0,0.27,0,0,0
Salarie_Prive,766000.0,698000.0,243000.0,0,0.37,1,0,0.8,0,0,0
Salarie_Prive,749000.0,676000.0,131000.0,0,0.76,1,1,0.95,1,0,1
Fonctionnaire,383000.0,531000.0,106000.0,1,0.36,1,0,0.62,0,1,0
Salarie_Prive,410000.0,572000.0,95000.0,0,0.64,1,0,0.71,0,0,0
Fonctionnaire,458000.0,645000.0,250000.0,1,0.43,1,1,0.4,0,0,0
Planteur_Cacao,220000.0,179000.0,51000.0,0,0.15,0,0,0.44,0,0,0
Planteur_Cacao,454000.0,541000.0,28000.0,0,0.79,0,0,0.75,0,1,0
Salarie_Prive,615000.0,474000.0,165000.0,0,0.41,1,0,0.93,0,0,0
Fonctionnaire,518000.0,358000.0,73000.0,1,0.64,1,0,0.66,0,1,0
Artisan,194000.0,133000.0,6000.0,3,0.34,1,2,0.8,0,1,1
Commercant_Informel,262000.0,220000.0,50000.0,0,0.07,0,0,0.25,0,0,0
Commercant_Informel,201000.0,187000.0,33000.0,0,0.13,1,0,0.29,0,0,0
Salarie_Prive,376000.0,500000.0,177000.0,1,0.45,1,0,0.57,1,0,1
Planteur_Cacao,359000.0,223000.0,22000.0,0,0.6,1,0,0.26,0,0,0
Artisan,222000.0,274000.0,92000.0,1,0.32,1,0,0.67,0,0,0
Fonctionnaire,493000.0,509000.0,118000.0,1,0.61,0,0,0.36,1,1,1
Commercant_Informel,208000.0,164000.0,7000.0,0,0.61,1,0,0.8,0,0,0
Salarie_Prive,724000.0,719000.0,280000.0,1,0.61,1,0,0.82,0,0,0
Salarie_Prive,459000.0,367000.0,79000.0,0,0.44,1,1,0.51,1,0,1
Planteur_Cacao,396000.0,434000.0,57000.0,1,0.78,1,1,0.26,0,1,0
Artisan,155000.0,145000.0,29000.0,1,0.44,0,0,0.68,0,1,0
Commercant_Informel,62000.0,41000.0,14000.0,1,0.41,0,0,0.98,0,1,0
Fonctionnaire,491000.0,303000.0,41000.0,1,0.21,1,0,0.65,0,0,0
Planteur_Cacao,533000.0,558000.0,52000.0,1,0.3,1,0,0.13,0,1,0
Fonctionnaire,397000.0,557000.0,38000.0,0,0.08,1,2,0.12,0,0,1
Commercant_Informel,286000.0,241000.0,32000.0,0,0.56,1,0,0.39,0,0,0
Planteur_Cacao,493000.0,608000.0,192000.0,1,0.25,1,0,0.27,0,0,0
Artisan,106000.0,123000.0,25000.0,1,0.29,0,0,0.82,0,1,0
Planteur_Cacao,305000.0,436000.0,46000.0,0,0.67,1,0,0.85,0,1,0
Planteur_Cacao,543000.0,717000.0,60000.0,0,0.31,1,0,0.33,0,0,0
Artisan,125000.0,133000.0,19000.0,1,0.24,1,0,0.39,1,0,1
Artisan,218000.0,252000.0,95000.0,3,0.19,0,0,0.31,0,1,0
Commercant_Informel,158000.0,221000.0,33000.0,2,0.67,1,0,0.91,0,1,0
Salarie_Prive,570000.0,513000.0,203000.0,1,0.15,0,0,0.55,0,0,0
Commercant_Informel,277000.0,229000.0,47000.0,1,0.41,1,0,0.68,0,1,0
Planteur_Cacao,109000.0,56000.0,5000.0,0,0.46,1,1,0.47,0,0,1
Planteur_Cacao,610000.0,809000.0,290000.0,0,0.6,0,3,0.66,0,0,1
Salarie_Prive,390000.0,507000.0,99000.0,0,0.56,1,0,0.44,0,0,0
Salarie_Prive,378000.0,229000.0,66000.0,1,0.7,0,1,0.4,0,1,0
Salarie_Prive,530000.0,571000.0,225000.0,1,0.09,1,0,0.66,0,0,0
Salarie_Prive,672000.0,648000.0,25000.0,1,0.29,1,3,0.63,0,1,1
Planteur_Cacao,217000.0,134000.0,8000.0,1,0.27,1,1,0.36,0,1,0
Commercant_Informel,286000.0,423000.0,124000.0,0,0.17,1,1,0.23,0,0,0
Planteur_Cacao,477000.0,341000.0,43000.0,1,0.28,1,2,0.43,0,1,1
Commercant_Informel,342000.0,194000.0,17000.0,0,0.3,1,1,0.47,0,0,0
Commercant_Informel,296000.0,324000.0,11000.0,1,0.47,0,0,0.66,0,1,0
Fonctionnaire,391000.0,484000.0,14000.0,1,0.58,1,1,0.91,0,1,1
Commercant_Informel,206000.0,109000.0,34000.0,0,0.35,1,0,0.13,1,0,0
Planteur_Cacao,416000.0,481000.0,34000.0,0,0.63,1,0,0.32,0,1,0
Planteur_Cacao,207000.0,214000.0,42000.0,0,0.32,1,2,0.27,0,0,1
Salarie_Prive,62000.0,37000.0,9000.0,2,0.28,1,0,0.55,0,1,0
Salarie_Prive,565000.0,380000.0,70000.0,0,0.48,0,0,0.48,0,1,0
Planteur_Cacao,563000.0,601000.0,18000.0,1,0.07,0,0,0.75,0,1,0
Planteur_Cacao,60000.0,48000.0,15000.0,0,0.11,1,0,0.32,0,0,0
Salarie_Prive,349000.0,501000.0,12000.0,0,0.38,0,1,0.63,0,0,0
Planteur_Cacao,511000.0,674000.0,209000.0,1,0.8,1,0,0.89,0,1,0
Fonctionnaire,585000.0,867000.0,312000.0,0,0.63,0,0,0.91,0,0,0
Salarie_Prive,503000.0,382000.0,71000.0,2,0.12,0,0,0.95,0,1,0
Planteur_Cacao,269000.0,395000.0,88000.0,0,0.73,0,1,0.79,0,0,1
Planteur_Cacao,367000.0,342000.0,69000.0,0,0.64,1,1,0.91,0,0,1
Artisan,282000.0,239000.0,40000.0,0,0.54,1,0,0.31,0,0,0
Commercant_Informel,222000.0,122000.0,44000.0,1,0.71,1,0,0.28,0,1,0
Commercant_Informel,208000.0,115000.0,41000.0,2,0.37,0,0,0.11,0,1,0
Fonctionnaire,381000.0,455000.0,67000.0,0,0.23,1,1,0.73,0,0,1
Artisan,143000.0,137000.0,35000.0,1,0.46,0,0,0.93,0,1,0
Artisan,207000.0,151000.0,56000.0,1,0.49,1,0,0.27,0,1,0
Salarie_Prive,744000.0,828000.0,319000.0,1,0.48,0,0,0.67,0,1,0
Commercant_Informel,309000.0,233000.0,50000.0,1,0.5,1,1,0.76,1,1,1
Planteur_Cacao,355000.0,382000.0,73000.0,1,0.81,1,0,0.93,0,1,0
Salarie_Prive,456000.0,392000.0,49000.0,0,0.77,1,1,0.68,0,1,0
Commercant_Informel,139000.0,184000.0,71000.0,0,0.75,1,0,0.96,0,0,0
Commercant_Informel,359000.0,475000.0,35000.0,0,0.69,1,0,0.41,1,1,1
Artisan,195000.0,191000.0,46000.0,0,0.8,0,0,0.41,0,1,0
Planteur_Cacao,368000.0,313000.0,40000.0,0,0.13,1,1,0.58,0,0,0
Commercant_Informel,567000.0,489000.0,62000.0,1,0.26,1,1,0.44,0,0,0
Planteur_Cacao,454000.0,593000.0,103000.0,0,0.45,0,1,0.1,0,0,0
Commercant_Informel,212000.0,176000.0,70000.0,1,0.73,1,1,0.75,1,1,1
Planteur_Cacao,323000.0,229000.0,9000.0,0,0.45,0,0,0.77,0,1,0
Planteur_Cacao,607000.0,355000.0,85000.0,2,0.65,0,1,0.76,0,1,1
Planteur_Cacao,420000.0,406000.0,21000.0,1,0.16,1,0,0.41,0,0,0
Salarie_Prive,284000.0,279000.0,22000.0,1,0.25,1,0,0.56,0,1,0
Salarie_Prive,638000.0,855000.0,160000.0,1,0.64,1,0,0.42,0,1,0
Commercant_Informel,220000.0,159000.0,34000.0,3,0.18,0,2,0.11,0,1,1
Artisan,312000.0,275000.0,33000.0,0,0.33,1,2,0.6,0,0,1
Commercant_Informel,377000.0,494000.0,69000.0,1,0.26,1,1,0.21,0,0,0
Planteur_Cacao,319000.0,423000.0,22000.0,0,0.33,0,0,0.17,0,0,0
Fonctionnaire,522000.0,462000.0,62000.0,2,0.62,1,0,0.77,0,1,0
Planteur_Cacao,412000.0,395000.0,153000.0,1,0.34,0,0,0.11,0,0,0
Artisan,251000.0,202000.0,76000.0,0,0.49,0,0,0.95,0,0,0
Planteur_Cacao,487000.0,698000.0,103000.0,0,0.13,1,0,0.56,0,0,0
Artisan,149000.0,92000.0,22000.0,1,0.69,0,1,0.97,0,1,1
Planteur_Cacao,284000.0,407000.0,149000.0,0,0.35,0,0,0.15,0,0,0
Fonctionnaire,502000.0,595000.0,13000.0,1,0.57,1,1,0.62,0,1,0
Commercant_Informel,250000.0,258000.0,85000.0,1,0.63,1,0,0.41,0,1,0
Artisan,176000.0,94000.0,36000.0,1,0.22,1,2,0.85,0,1,1
Planteur_Cacao,228000.0,223000.0,12000.0,0,0.76,1,0,0.42,0,0,0
Commercant_Informel,318000.0,289000.0,23000.0,0,0.54,0,1,0.33,0,1,0
Artisan,324000.0,214000.0,82000.0,0,0.39,1,0,0.86,0,0,0
Commercant_Informel,184000.0,213000.0,48000.0,1,0.2,0,0,0.43,0,0,0
Salarie_Prive,504000.0,741000.0,19000.0,1,0.8,1,0,0.11,0,1,0
Salarie_Prive,712000.0,756000.0,89000.0,0,0.65,1,1,0.45,1,0,1
Commercant_Informel,273000.0,331000.0,63000.0,2,0.22,0,2,0.68,0,1,1
Salarie_Prive,568000.0,323000.0,91000.0,1,0.32,0,0,0.33,0,1,0
Commercant_Informel,184000.0,169000.0,51000.0,0,0.7,1,1,0.48,0,0,0
Artisan,226000.0,139000.0,55000.0,2,0.61,1,0,0.15,0,1,0
Planteur_Cacao,366000.0,408000.0,53000.0,2,0.66,1,1,0.62,1,1,1
Planteur_Cacao,577000.0,831000.0,186000.0,1,0.4,1,0,0.77,0,0,0
Artisan,271000.0,315000.0,70000.0,1,0.62,1,2,0.47,0,1,1
Fonctionnaire,627000.0,362000.0,63000.0,1,0.36,1,1,0.47,0,0,0
Commercant_Informel,332000.0,284000.0,24000.0,1,0.22,0,0,0.18,0,1,0
Salarie_Prive,549000.0,577000.0,226000.0,0,0.56,1,2,0.28,0,0,1
Planteur_Cacao,435000.0,393000.0,135000.0,3,0.83,0,0,0.24,0,1,0
Planteur_Cacao,336000.0,449000.0,94000.0,0,0.3,0,0,0.53,0,0,0
Commercant_Informel,310000.0,408000.0,102000.0,1,0.42,1,0,0.57,0,1,0
Commercant_Informel,253000.0,282000.0,30000.0,1,0.59,0,0,0.94,0,1,0
Commercant_Informel,295000.0,258000.0,58000.0,0,0.48,1,0,0.17,0,0,0
Planteur_Cacao,637000.0,481000.0,137000.0,0,0.72,0,0,0.63,0,1,0
Artisan,140000.0,85000.0,18000.0,0,0.66,1,0,0.57,0,0,0
Artisan,268000.0,229000.0,91000.0,1,0.1,1,0,0.56,0,0,0
Salarie_Prive,698000.0,637000.0,161000.0,0,0.85,0,1,0.88,0,1,1
Commercant_Informel,269000.0,317000.0,51000.0,0,0.65,1,0,0.28,0,0,0
Planteur_Cacao,60000.0,69000.0,22000.0,1,0.74,0,1,0.14,0,1,0
Fonctionnaire,371000.0,212000.0,18000.0,1,0.57,0,0,0.7,0,1,0
Salarie_Prive,695000.0,622000.0,103000.0,4,0.74,1,0,0.41,0,1,0
Planteur_Cacao,396000.0,270000.0,41000.0,0,0.14,1,1,0.12,0,0,0
Artisan,140000.0,92000.0,17000.0,0,0.33,1,1,0.32,0,0,0
Fonctionnaire,380000.0,504000.0,160000.0,3,0.75,1,0,0.38,0,1,0
Artisan,250000.0,136000.0,28000.0,1,0.21,0,0,0.65,0,1,0
Salarie_Prive,582000.0,535000.0,172000.0,0,0.11,1,2,0.25,0,0,1
Salarie_Prive,464000.0,310000.0,74000.0,0,0.68,1,0,0.47,0,0,0
Commercant_Informel,247000.0,341000.0,51000.0,0,0.72,0,0,0.53,0,1,0
Artisan,176000.0,187000.0,61000.0,1,0.18,1,0,0.51,0,0,0
Fonctionnaire,346000.0,253000.0,28000.0,0,0.73,0,1,0.97,0,1,1
Planteur_Cacao,691000.0,692000.0,73000.0,2,0.6,1,1,0.14,0,1,0
Planteur_Cacao,342000.0,421000.0,89000.0,0,0.47,0,2,0.95,0,0,1
Commercant_Informel,390000.0,568000.0,68000.0,2,0.71,1,0,0.62,1,1,1
Fonctionnaire,542000.0,390000.0,9000.0,1,0.39,1,0,0.81,0,1,0
Artisan,260000.0,360000.0,96000.0,0,0.21,1,0,0.48,0,0,0
Planteur_Cacao,322000.0,462000.0,99000.0,2,0.28,1,0,0.5,1,1,1
Commercant_Informel,316000.0,448000.0,85000.0,3,0.45,0,0,0.88,0,1,0
Commercant_Informel,278000.0,315000.0,122000.0,1,0.48,1,1,0.9,0,0,1
Artisan,146000.0,165000.0,39000.0,1,0.69,0,2,0.31,0,1,1
Fonctionnaire,446000.0,403000.0,140000.0,0,0.68,1,0,0.28,0,0,0
Fonctionnaire,326000.0,408000.0,30000.0,1,0.52,1,0,0.54,0,1,0
Commercant_Informel,387000.0,399000.0,94000.0,0,0.67,1,0,0.9,0,0,0
Commercant_Informel,238000.0,280000.0,98000.0,0,0.2,1,0,0.39,0,0,0
Planteur_Cacao,436000.0,405000.0,98000.0,1,0.09,1,0,0.68,1,0,1
Planteur_Cacao,451000.0,555000.0,163000.0,1,0.75,1,1,0.73,0,1,0
Fonctionnaire,399000.0,529000.0,85000.0,0,0.11,0,0,0.79,0,0,0
Fonctionnaire,467000.0,302000.0,17000.0,0,0.25,1,1,0.6,0,0,1
Artisan,172000.0,229000.0,44000.0,0,0.61,1,0,0.46,0,0,0
Artisan,252000.0,262000.0,45000.0,0,0.38,1,1,0.96,0,0,1
Commercant_Informel,159000.0,214000.0,75000.0,0,0.75,1,0,0.64,0,0,0
Salarie_Prive,519000.0,483000.0,54000.0,2,0.29,0,0,0.75,0,1,0
Artisan,316000.0,278000.0,108000.0,0,0.06,1,1,0.41,0,0,0
Fonctionnaire,340000.0,481000.0,185000.0,1,0.29,1,0,0.7,1,0,1
Planteur_Cacao,278000.0,209000.0,24000.0,0,0.51,1,0,0.33,0,0,0
Commercant_Informel,326000.0,439000.0,67000.0,1,0.35,1,0,0.32,0,1,0
Planteur_Cacao,432000.0,425000.0,153000.0,1,0.48,1,0,0.74,0,1,0
Artisan,221000.0,224000.0,87000.0,0,0.75,0,0,0.56,0,1,0
Salarie_Prive,573000.0,464000.0,87000.0,1,0.78,1,0,0.71,0,1,0
Planteur_Cacao,514000.0,552000.0,78000.0,1,0.26,1,0,0.34,0,1,0
Salarie_Prive,666000.0,550000.0,121000.0,0,0.42,0,0,0.63,1,0,1
Salarie_Prive,561000.0,303000.0,85000.0,3,0.49,1,0,0.5,0,1,0
Commercant_Informel,258000.0,199000.0,25000.0,0,0.81,0,0,0.63,0,1,0
Planteur_Cacao,521000.0,264000.0,79000.0,0,0.85,1,0,0.36,0,1,0
Salarie_Prive,785000.0,1160000.0,46000.0,0,0.24,0,0,0.74,0,0,0
Commercant_Informel,268000.0,393000.0,15000.0,1,0.63,1,1,0.82,0,1,1
Salarie_Prive,354000.0,317000.0,53000.0,0,0.35,1,0,0.33,0,0,0
Commercant_Informel,380000.0,466000.0,72000.0,0,0.06,1,0,0.37,0,0,0
Fonctionnaire,410000.0,347000.0,49000.0,1,0.06,1,0,0.69,0,0,0
Commercant_Informel,84000.0,99000.0,20000.0,0,0.42,1,0,0.72,0,0,0
Commercant_Informel,356000.0,465000.0,66000.0,0,0.44,1,0,0.73,0,0,0
Fonctionnaire,377000.0,546000.0,51000.0,1,0.07,1,0,0.71,0,0,0
Commercant_Informel,272000.0,245000.0,34000.0,2,0.6,1,1,0.45,0,1,1
Planteur_Cacao,460000.0,590000.0,230000.0,1,0.29,1,0,0.45,0,0,0
Planteur_Cacao,434000.0,333000.0,59000.0,2,0.5,0,1,0.33,0,1,0
Salarie_Prive,606000.0,904000.0,171000.0,0,0.29,0,0,0.24,0,0,0
Salarie_Prive,435000.0,229000.0,55000.0,0,0.18,1,3,0.72,0,0,1
Salarie_Prive,577000.0,637000.0,251000.0,1,0.38,1,0,0.18,0,0,0
Planteur_Cacao,353000.0,410000.0,46000.0,1,0.24,1,1,0.93,0,1,1
Planteur_Cacao,533000.0,633000.0,177000.0,1,0.48,1,1,0.84,0,1,1
Planteur_Cacao,511000.0,317000.0,93000.0,1,0.21,0,0,0.86,0,1,0
Commercant_Informel,196000.0,282000.0,71000.0,1,0.46,1,1,0.91,0,0,1
Commercant_Informel,378000.0,257000.0,14000.0,0,0.18,1,0,0.46,0,0,0
Commercant_Informel,232000.0,260000.0,72000.0,0,0.59,0,0,0.85,0,0,0
Commercant_Informel,353000.0,255000.0,11000.0,1,0.65,1,0,0.24,0,1,0
Artisan,222000.0,179000.0,44000.0,1,0.14,0,0,0.12,1,1,0
Planteur_Cacao,731000.0,765000.0,230000.0,2,0.42,0,0,0.8,0,1,0
Commercant_Informel,260000.0,238000.0,24000.0,0,0.11,1,0,0.17,0,0,0
Salarie_Prive,448000.0,296000.0,100000.0,0,0.53,1,1,0.98,0,0,1
Commercant_Informel,278000.0,187000.0,6000.0,0,0.26,1,1,0.7,0,0,1
Salarie_Prive,455000.0,417000.0,142000.0,0,0.47,1,0,0.77,0,0,0
Fonctionnaire,484000.0,609000.0,119000.0,1,0.46,1,0,0.32,1,1,1
Artisan,103000.0,144000.0,15000.0,1,0.79,0,2,0.7,0,1,1
Planteur_Cacao,210000.0,123000.0,9000.0,1,0.49,1,0,0.14,0,1,0
Artisan,136000.0,121000.0,46000.0,1,0.52,1,0,0.85,1,1,1
Commercant_Informel,366000.0,219000.0,10000.0,0,0.37,1,3,0.25,0,0,1
Planteur_Cacao,708000.0,366000.0,35000.0,0,0.81,0,1,0.72,0,0,1
Commercant_Informel,271000.0,314000.0,48000.0,2,0.67,1,0,0.3,0,1,0
Artisan,190000.0,209000.0,54000.0,0,0.28,0,0,0.16,0,0,0
Commercant_Informel,286000.0,190000.0,43000.0,0,0.73,1,0,0.53,0,1,0
Planteur_Cacao,609000.0,447000.0,30000.0,1,0.4,1,1,0.25,0,1,0
Salarie_Prive,361000.0,189000.0,25000.0,3,0.71,0,1,0.75,0,1,1
Planteur_Cacao,443000.0,591000.0,65000.0,2,0.71,0,0,0.31,0,1,0
Planteur_Cacao,576000.0,849000.0,86000.0,1,0.2,1,1,0.4,1,1,1
Planteur_Cacao,490000.0,312000.0,55000.0,0,0.61,1,1,0.61,0,0,0
Planteur_Cacao,434000.0,318000.0,91000.0,0,0.28,0,1,0.35,1,0,1
Planteur_Cacao,580000.0,794000.0,81000.0,0,0.29,1,1,0.44,0,0,1
Planteur_Cacao,60000.0,86000.0,14000.0,1,0.29,1,0,0.83,0,1,0
Salarie_Prive,602000.0,553000.0,93000.0,2,0.63,0,1,0.26,0,1,0
Planteur_Cacao,282000.0,155000.0,61000.0,0,0.23,1,1,0.17,0,0,0
Planteur_Cacao,70000.0,38000.0,15000.0,1,0.05,1,0,0.39,0,0,0
Fonctionnaire,461000.0,495000.0,160000.0,0,0.62,1,1,0.48,0,0,0
Commercant_Informel,404000.0,360000.0,40000.0,1,0.19,1,0,0.58,0,0,0
Salarie_Prive,479000.0,253000.0,12000.0,1,0.13,0,0,0.43,0,1,0
Planteur_Cacao,572000.0,619000.0,87000.0,0,0.24,1,0,0.8,0,0,0
Planteur_Cacao,690000.0,353000.0,43000.0,0,0.35,1,0,0.13,0,0,0
Planteur_Cacao,637000.0,820000.0,174000.0,2,0.43,1,0,0.48,0,1,0
Planteur_Cacao,695000.0,561000.0,177000.0,0,0.09,0,2,0.44,0,0,1
Planteur_Cacao,534000.0,288000.0,100000.0,0,0.83,1,1,0.68,0,1,1
Planteur_Cacao,414000.0,450000.0,154000.0,1,0.62,0,0,0.96,0,1,0
Planteur_Cacao,112000.0,100000.0,16000.0,0,0.31,1,0,0.55,0,0,0
Planteur_Cacao,356000.0,524000.0,147000.0,1,0.3,0,0,0.98,0,0,0
Commercant_Informel,204000.0,213000.0,30000.0,1,0.41,1,1,0.37,1,1,1
Planteur_Cacao,791000.0,613000.0,26000.0,0,0.55,0,0,0.13,0,0,0
Commercant_Informel,264000.0,319000.0,92000.0,0,0.17,1,1,0.25,0,0,0
Commercant_Informel,291000.0,225000.0,5000.0,0,0.2,1,0,0.45,1,0,1
Salarie_Prive,583000.0,818000.0,144000.0,2,0.74,0,1,0.38,0,1,1
Planteur_Cacao,408000.0,357000.0,52000.0,0,0.26,0,1,0.19,0,0,0
Salarie_Prive,754000.0,792000.0,224000.0,1,0.35,1,1,0.49,0,0,1
Salarie_Prive,407000.0,224000.0,70000.0,0,0.75,0,0,0.4,0,1,0
Planteur_Cacao,435000.0,403000.0,55000.0,0,0.58,1,0,0.21,0,0,0
Fonctionnaire,361000.0,480000.0,158000.0,0,0.32,0,0,0.36,0,0,0
Artisan,121000.0,158000.0,21000.0,2,0.6,1,1,0.89,0,1,1
Planteur_Cacao,290000.0,210000.0,40000.0,1,0.07,1,1,0.37,0,0,0
Planteur_Cacao,393000.0,286000.0,85000.0,0,0.64,1,1,0.74,0,0,0
Fonctionnaire,386000.0,508000.0,144000.0,0,0.44,1,2,0.64,0,0,1
Salarie_Prive,396000.0,567000.0,224000.0,1,0.7,0,0,0.48,0,1,0
Planteur_Cacao,147000.0,87000.0,9000.0,1,0.81,1,0,0.31,0,1,0
Planteur_Cacao,385000.0,366000.0,99000.0,0,0.79,1,0,0.43,0,0,0
Commercant_Informel,145000.0,121000.0,30000.0,0,0.78,1,0,0.63,0,0,0
Commercant_Informel,348000.0,478000.0,176000.0,1,0.46,0,0,0.41,0,0,0
Salarie_Prive,512000.0,299000.0,24000.0,1,0.34,1,0,0.29,0,1,0
Commercant_Informel,149000.0,106000.0,32000.0,0,0.42,1,0,0.2,0,0,0
Commercant_Informel,252000.0,316000.0,75000.0,0,0.6,0,0,0.88,0,1,0
Salarie_Prive,387000.0,213000.0,27000.0,0,0.76,1,0,0.49,0,1,0
